name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Amsterdam, Noord-Holland, Nederland",2009-05-26,17.7,10.5,14.3,17.7,10.5,14.3,12.6,89.9,17.193,100,16.67,rain,0,0,92.3,36.4,247.9,,85.4,15.4,,,,,2009-05-26T05:30:11,2009-05-26T21:45:27,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-27,14.4,8.5,12,14.4,6.4,11.7,8,76.6,0.198,100,4.17,rain,0,0,56.6,37.8,233.6,,56,26.9,,,,,2009-05-27T05:29:06,2009-05-27T21:46:44,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-28,17.1,11.8,14.9,17.1,11.8,14.9,11.3,80.1,0.762,100,8.33,rain,0,0,52.7,26.4,288.3,1021,54.7,26,,,,,2009-05-28T05:28:03,2009-05-28T21:48:00,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-29,19.1,8.4,14.7,19.1,7.9,14.7,7.8,66.9,0,0,0,,0,0,37.9,23.6,40.6,1033.9,7.3,28.2,,,,,2009-05-29T05:27:03,2009-05-29T21:49:14,0.17,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-30,20.9,10.1,16.2,20.9,10.1,16.2,8.8,63,0,0,0,,0,0,42.7,29.8,60.2,,5.9,39.8,,,,,2009-05-30T05:26:06,2009-05-30T21:50:26,0.21,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-05-31,23.1,13.1,18.2,23.1,13.1,18.2,11.9,67.4,0,0,0,,0,0,42.4,29.5,48.7,1024,6.9,35.7,,,,,2009-05-31T05:25:12,2009-05-31T21:51:36,0.25,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-01,23.9,14.1,19,23.9,14.1,19,12.6,68.4,0,0,0,,0,0,45.8,32.8,24.8,,18.3,30.6,,,,,2009-06-01T05:24:21,2009-06-01T21:52:44,0.28,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-02,19.6,12.1,15.7,19.6,12.1,15.7,9.9,70.2,0,0,0,,0,0,39.5,26.6,357.1,,28,22.2,,,,,2009-06-02T05:23:32,2009-06-02T21:53:50,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-03,14.8,10.4,12.5,14.8,10.4,12.5,6.5,67.7,0,0,0,,0,0,42.4,26.6,337,,66.3,26.8,,,,,2009-06-03T05:22:47,2009-06-03T21:54:53,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-04,13.2,8.5,10.6,13.2,7.4,10.1,5,68.5,0.561,100,12.5,rain,0,0,45.6,27.5,316.8,1014.4,93.8,33.8,,,,,2009-06-04T05:22:04,2009-06-04T21:55:54,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-05,13.5,7.3,10.4,13.5,6.1,9.9,5.3,71.5,0.856,100,12.5,rain,0,0,32.4,16.3,340.8,1012.9,70.4,40.6,,,,,2009-06-05T05:21:25,2009-06-05T21:56:53,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-06,16.3,6.2,11.9,16.3,3.8,11.2,5.2,65.5,0.013,100,4.17,rain,0,0,42.3,25.3,59,1008.1,46.5,36,,,,,2009-06-06T05:20:48,2009-06-06T21:57:49,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-07,15.1,8.9,12,15.1,8.9,12,8.2,78.2,6.129,100,4.17,rain,0,0,33.9,17.7,99.3,,95.8,25.3,,,,,2009-06-07T05:20:15,2009-06-07T21:58:43,0.5,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
"Amsterdam, Noord-Holland, Nederland",2009-06-08,17.5,8.1,13.3,17.5,6,13,9,76.8,0.317,100,4.17,rain,0,0,31.4,17.6,216.2,,51.1,22.5,,,,,2009-06-08T05:19:44,2009-06-08T21:59:34,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
